time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
475.999,0.00951788,-0.01153161,-0.002684159,-0.1102509,-0.01331258,0.03075709,-0.01533716,0.1576568,-0.5999879,359.4152,3.286483,357.9629,0.06164605,0.08224306,-0.04467988,-0.1842375,0.3518382,0.1384851,-0.3213079,-0.6122857,-0.5572141,19.22128,20.82822,169.4881,-0.009340967,0.008486154,0.003944377,-0.2220161,-0.2524064,-0.1475788,0.188361,-0.6304049,-0.6317389,12.98174,18.00851,184.9386
489.798,0.01030747,-0.01257173,-0.004678136,-0.1169085,-0.007111297,0.04627745,-0.01519137,0.1574502,-0.6001534,359.5054,3.285901,357.9042,0.05047213,0.04853275,-0.0797203,-0.2124083,-0.08034488,-0.3322125,-0.3196999,-0.6129844,-0.5595311,19.33124,19.92651,170.4631,-0.001413163,0.008712034,0.004588089,-0.1935969,-0.05802841,0.0008248594,0.188385,-0.6304399,-0.6317453,13.0809,18.4224,184.7435
503.813,0.01114188,-0.01228392,-0.005234726,-0.1007847,-0.01622526,0.06433023,-0.01499825,0.1572793,-0.6002459,359.5507,3.335542,357.8212,0.06106787,0.01787347,-0.09938156,-0.2098127,-0.1830563,-0.6086705,-0.3182721,-0.6139579,-0.5613748,19.30873,19.60694,171.4187,0.004036068,0.008804731,0.004878837,-0.1571001,0.08840092,0.1431282,0.1883794,-0.6304466,-0.631699,12.9545,18.68044,184.5057
517.899,0.01235291,-0.01116913,-0.005106943,-0.08362352,-0.02577475,0.07143046,-0.01475142,0.1571427,-0.6002924,359.589,3.373024,357.7655,0.07762934,-0.01854094,-0.1098581,-0.2187419,-0.2026709,-0.7758631,-0.3166892,-0.6153777,-0.562961,19.20049,19.41687,172.3399,0.006797967,0.008149887,0.004593623,-0.1101809,0.1747608,0.2458465,0.1883488,-0.6304258,-0.631618,12.84906,19.06327,184.0994
531.834,0.01284062,-0.01107241,-0.005473738,-0.07757851,-0.030518,0.07090898,-0.01453812,0.1569863,-0.6003624,359.6564,3.406517,357.7234,0.08613603,-0.03935683,-0.109619,-0.2227286,-0.1790616,-0.8146296,-0.3154516,-0.6164855,-0.564435,19.06052,19.3276,173.051,0.00755403,0.007295153,0.004135183,-0.07041942,0.2090486,0.3024651,0.1883019,-0.6303846,-0.6315188,12.85921,19.31851,183.7923
545.559,0.01249079,-0.01156198,-0.006787157,-0.09361384,-0.03371729,0.07364394,-0.01439822,0.1568348,-0.6004864,359.7896,3.442378,357.6723,0.08267368,-0.0504328,-0.1050972,-0.23741,-0.2478638,-0.8165886,-0.3143561,-0.6176003,-0.565824,18.92785,18.97739,173.615,0.005978621,0.005475577,0.003108469,-0.03096418,0.1800931,0.2873054,0.1882585,-0.6303417,-0.6314396,12.9097,19.40936,183.615
559.681,0.01209736,-0.01270827,-0.008904721,-0.1108668,-0.03802356,0.0647897,-0.01426385,0.1566446,-0.6006683,359.9131,3.49489,357.6626,0.07064165,-0.06031709,-0.09982692,-0.2325396,-0.4047666,-0.8540357,-0.3132762,-0.6187289,-0.5672191,18.88473,18.31417,174.1863,0.002094805,0.002020995,0.001152565,0.02774087,0.09502832,0.2158372,0.1882084,-0.6302851,-0.6313671,13.03473,19.24897,183.6906
573.609,0.01198096,-0.01230562,-0.01160681,-0.1234181,-0.04264116,0.0500989,-0.0141261,0.1565619,-0.6010416,0.0213998,3.54572,357.6715,0.05654233,-0.06884975,-0.09369636,-0.1807148,-0.6195158,-0.9480174,-0.3120481,-0.6197899,-0.5684044,19.00813,17.37551,174.8495,-0.0008176545,7.68567e-05,6.551032e-06,0.06467994,0.03545906,0.1830302,0.1881715,-0.6302358,-0.631338,13.12117,19.18364,183.6285
587.458,0.01135968,-0.009916901,-0.01407016,-0.1166811,-0.05382789,0.04094585,-0.01398639,0.1565818,-0.6013073,0.07500255,3.609514,357.6542,0.05410612,-0.07443602,-0.08859608,-0.08030167,-0.6552411,-0.957476,-0.310744,-0.6207477,-0.5693178,19.23376,16.78825,175.4505,-0.002301715,-0.0009449385,-0.0006001304,0.08802196,0.008073179,0.1767474,0.1881414,-0.6301915,-0.6313259,13.21532,19.16237,183.4975
601.554,0.01006735,-0.0055672,-0.01631205,-0.08725165,-0.06874982,0.04654298,-0.01385103,0.1564945,-0.6014854,0.07733582,3.697307,357.5957,0.06327154,-0.07737351,-0.07722045,0.04308294,-0.5146858,-0.8380733,-0.309464,-0.6215937,-0.5696946,19.54277,16.70368,175.8342,-0.00462277,-0.002273969,-0.001419643,0.1170068,-0.03659571,0.1636571,0.1881025,-0.6301292,-0.6313257,13.35188,19.08588,183.3488
